binary	address	name	code_origin	module_candidate	candidate_confidence	assignment_basis	direct_callers	direct_callees	follow_up_module	review_status
Z_DAT	0x22066	sub_22066	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x212C0,0x32E59	0x22066,0x22090,0x22A59,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x22090	sub_22090	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x21496,0x21AC0,0x22066,0x25BBA,0x2A86C	0x22090,0x2558B,0x269AB,0x29D2D,0x2CEBF,0x3AA85,0x3D6D1,0x3D832,0x3ED1E,0x3EF4A,0x3EF7D	framework_assignment	pending_assignment
Z_DAT	0x22A59	sub_22A59	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x22066	0x20C32,0x22A59,0x2558B,0x29D2D,0x2CEBF,0x2D590,0x3AA85,0x3D6D1,0x3D832,0x3ED1E,0x3EF4A	framework_assignment	pending_assignment
Z_DAT	0x2399E	sub_2399E	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20D35,0x26B5E,0x28E40	0x2399E,0x3D612,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x23AA6	sub_23AA6	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20D35	0x23AA6,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x23B3E	sub_23B3E	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20D35	0x23B3E,0x3D612,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x23C98	sub_23C98	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20D35	0x23C98,0x241DC,0x24278,0x24417,0x24496,0x24559,0x24667,0x246F9,0x24F8C,0x25911,0x26A92,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x23F28	sub_23F28	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x20D35	0x23C98,0x23F28,0x2422A,0x24278,0x24417,0x24496,0x24559,0x24667,0x246F9,0x25911,0x26A92,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x241DC	sub_241DC	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23C98	0x241DC,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x2422A	sub_2422A	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23F28	0x2422A,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24278	sub_24278	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23C98,0x23F28	0x24278,0x24CE8,0x3ED1E	framework_assignment	pending_assignment
Z_DAT	0x24417	sub_24417	game_or_library_unclassified	unresolved	unreviewed	mechanical_catalog_only	0x23C98,0x23F28	0x24417,0x3ED1E	framework_assignment	pending_assignment
