binary	address	end	size	name	instruction_count	basic_blocks	direct_callers	direct_callees	code_origin
Z_DAT	0x4E02C	0x4E10E	226	sub_4E02C	83	18	0x467BC,0x47BE9,0x4E663,0x51A8C	0x3F728,0x46891,0x4E02C,0x518F0	game_or_library_unclassified
Z_DAT	0x4E10E	0x4E114	6	sub_4E10E	2	1	0x46891,0x4DC7A		game_or_library_unclassified
Z_DAT	0x4E114	0x4E11A	6	sub_4E114	2	1	0x4689D		game_or_library_unclassified
Z_DAT	0x4E11A	0x4E125	11	sub_4E11A	2	1	0x469C2		game_or_library_unclassified
Z_DAT	0x4E126	0x4E15E	56	sub_4E126	28	1	0x46AE0	0x4E15E	game_or_library_unclassified
Z_DAT	0x4E15E	0x4E183	37	sub_4E15E	13	1	0x4E126		game_or_library_unclassified
Z_DAT	0x4E512	0x4E524	18	sub_4E512	7	4	0x475C2,0x47691	0x4E512	game_or_library_unclassified
Z_DAT	0x4E524	0x4E5C7	163	sub_4E524	59	12	0x47788	0x3ED5B,0x453A0,0x46891,0x4E524	game_or_library_unclassified
Z_DAT	0x4E5C7	0x4E5FE	55	sub_4E5C7	21	6	0x47691,0x47B3E	0x4E5C7	game_or_library_unclassified
Z_DAT	0x4E61C	0x4E663	71	sub_4E61C	31	4	0x4E663	0x4E61C	game_or_library_unclassified
Z_DAT	0x4E663	0x4E7B6	339	sub_4E663	143	28	0x47691	0x3F728,0x46891,0x4E02C,0x4E61C,0x4E663,0x51A4B	game_or_library_unclassified
Z_DAT	0x4E7B6	0x4E7E9	51	sub_4E7B6	20	5	0x47691,0x4DFAC,0x4E7E9	0x4684D,0x4E7B6	game_or_library_unclassified
Z_DAT	0x4E7E9	0x4E86B	130	sub_4E7E9	52	14	0x478A0	0x4DFAC,0x4E7B6,0x4E7E9	game_or_library_unclassified
Z_DAT	0x4E86B	0x4E92C	193	sub_4E86B	70	4	0x478CD	0x4E86B	game_or_library_unclassified
Z_DAT	0x4E92C	0x4EA84	344	sub_4E92C	128	26	0x478CD,0x4F038	0x4E92C,0x4EAEE,0x4EE89,0x4EFFF,0x4F171	game_or_library_unclassified
Z_DAT	0x4EAEE	0x4EB09	27	sub_4EAEE	9	6	0x47904,0x4E92C	0x47560,0x4EAEE,0x4ED7B	game_or_library_unclassified
Z_DAT	0x4EB09	0x4EB33	42	sub_4EB09	19	5	0x4EB33,0x4EC5F	0x4EB09	game_or_library_unclassified
Z_DAT	0x4EB33	0x4EC5F	300	sub_4EB33	123	24	0x4ED7B	0x4EB09,0x4EB33	game_or_library_unclassified
Z_DAT	0x4EC5F	0x4ED7B	284	sub_4EC5F	111	15	0x4ED7B	0x4EB09,0x4EC5F	game_or_library_unclassified
Z_DAT	0x4ED7B	0x4EE89	270	sub_4ED7B	87	7	0x4EAEE	0x4EB33,0x4EC5F,0x4ED7B	game_or_library_unclassified
Z_DAT	0x4EE89	0x4EFC9	320	sub_4EE89	123	14	0x47904,0x4E92C	0x4EE89,0x4EFFF	game_or_library_unclassified
Z_DAT	0x4EFFF	0x4F038	57	sub_4EFFF	24	5	0x4E92C,0x4EE89,0x4F038,0x4F171	0x4EFFF	game_or_library_unclassified
Z_DAT	0x4F038	0x4F129	241	sub_4F038	83	14	0x4F129	0x4E92C,0x4EFFF,0x4F038	game_or_library_unclassified
Z_DAT	0x4F129	0x4F171	72	sub_4F129	33	5	0x4F171	0x4F038,0x4F129	game_or_library_unclassified
Z_DAT	0x4F171	0x4F449	728	sub_4F171	247	56	0x47904,0x4E92C	0x4EFFF,0x4F129,0x4F171,0x4F449	game_or_library_unclassified
Z_DAT	0x4F449	0x4F47F	54	sub_4F449	25	7	0x4F171	0x4F449	game_or_library_unclassified
Z_DAT	0x4F47F	0x4F485	6	sub_4F47F	2	1	0x47B74		game_or_library_unclassified
Z_DAT	0x4F485	0x4F4B9	52	sub_4F485	23	7	0x47BE9	0x4F485,0x51A4B	game_or_library_unclassified
Z_DAT	0x4F4B9	0x4F4C7	14	sub_4F4B9	5	1	0x47BE9	0x51A5D	game_or_library_unclassified
Z_DAT	0x4F8C8	0x4F8D9	17	sub_4F8C8	8	2	0x4F8C8,0x51509	0x4F8C8	game_or_library_unclassified
Z_DAT	0x50506	0x50527	33	sub_50506	11	3	0x50506,0x51443	0x50506	game_or_library_unclassified
Z_DAT	0x50527	0x5054B	36	sub_50527	12	3	0x50527,0x51443	0x50527	game_or_library_unclassified
Z_DAT	0x51509	0x5159C	147	sub_51509	53	13	0x48278,0x48814	0x4F8C8,0x51509	game_or_library_unclassified
Z_DAT	0x5159C	0x515C8	44	sub_5159C	27	1	0x48278,0x48814		game_or_library_unclassified
Z_DAT	0x515C8	0x515F7	47	sub_515C8	19	1	0x47C90	0x3E4C6	game_or_library_unclassified
Z_DAT	0x515F7	0x5162C	53	sub_515F7	27	7	0x49FD4,0x4BEBC	0x515F7	game_or_library_unclassified
Z_DAT	0x5168C	0x51717	139	sub_5168C	54	13	0x4DA0E	0x46891,0x5168C,0x51717	game_or_library_unclassified
Z_DAT	0x51717	0x51746	47	sub_51717	20	3	0x5168C	0x51717,0x51746	game_or_library_unclassified
Z_DAT	0x51746	0x51801	187	sub_51746	68	18	0x51717	0x4DFAC,0x51746,0x51A8C,0x51AC3,0x51ADE	game_or_library_unclassified
Z_DAT	0x518F0	0x5196E	126	sub_518F0	56	9	0x4E02C	0x46891,0x468DB,0x46956,0x518F0	game_or_library_unclassified
Z_DAT	0x51A4B	0x51A5D	18	sub_51A4B	7	1	0x4E663,0x4F485	0x3F728	game_or_library_unclassified
Z_DAT	0x51A5D	0x51A81	36	sub_51A5D	16	3	0x4F4B9	0x468DB,0x51A5D	game_or_library_unclassified
Z_DAT	0x51A8C	0x51AC3	55	sub_51A8C	25	7	0x51746	0x4E02C,0x51A8C	game_or_library_unclassified
Z_DAT	0x51AC3	0x51ADE	27	sub_51AC3	9	3	0x51746	0x51AC3	game_or_library_unclassified
Z_DAT	0x51ADE	0x51B09	43	sub_51ADE	18	3	0x51746	0x468DB,0x51ADE	game_or_library_unclassified
